HP1BP3	OR1Q1
C1QBP	LINC00652
YDJC	ASB7
DYNLL1	MIR195
TRAJ33	RPS20
COL17A1	ETS2
SNORD110	TNK1
NUPL1	TCHH
MRX73	BAIAP2
CXCL10	LINC00347
BRD4	GCNT2
LINC00415	CCDC40
ZNF91	KLHL15
ZFP41	NFATC2
DNAJC17	ARL4D
TFF1	LZTS3
FAM189A2	POLE2
BBS10	C1orf123
TMEM133	PFKFB2
MTA3	SCTR
FBN2	SIX2
ERVK-5	GM2AP1
TDRD6	DHRS7
IFT81	SDR16C5
WDR76	HCCAT5
ZNF669	LINC00418
UFSP2	WDR90
CCDC126	ANKS3
OR5D13	COL13A1
PRRT3	RP29
GOLGA6B	ZNF56
COL26A1	TMOD3
NRXN3	TMEM144
GDF1	LARS
BBS4	LPA
ZC3H11A	NOL7
WDR49	ZNF322
C19orf44	GH1
C19orf10	IL17D
C1QTNF9B	SUMF2
DOCK8	PAFAH1B2
WWP1	BRD9
BOLA2	SNORD78
FOXJ1	LINC00629
COX6A1	ALOXE3
RILPL1	KEL
ART3	GJA4
LPPR3	PRPS2
OR7D4	CEACAM19
USP35	CALM2
PIWIL2	ETV7
NOTCH4	SCD
SLC9A3R2	CDH6
ZBTB40	TREML2
HS6ST2	CRX
RAD52	CREB1
POLD3	CCDC170
C10orf28	TUBB2B
REEP3	OR2A25
KLF14	C1orf9
PIGW	SFRP4
ABR	RRBP1
KCNJ4	GALNS
SBNO2	CCIN
PRIMA1	ATRX
ERCC8	MEGF10
COX8A	APLN
FAIM	MYH7B
NFIC	ZSWIM3
LINC00628	DNM1P46
KRTAP11-1	POLR2H
TMEM132E	MRPS18B
CCNG1	BARX1
LINC00294	LINC00362
COL16A1	MIR23B
LINC00489	GAL3ST2
CAP1	OR52B2
OR51G2	FAM131B
HIST1H2AJ	NUDT9
FCAMR	POP1
CNIH4	TSTA3
OR5H2	BMP10
TAS2R50	MTFMT
KIAA1467	COL6A3
C10orf11	PHB2
OR2AP1	LINC01069
ADAMTS6	DEC1
DNM3	C1GALT1
BRD4	SEPT2
KCND2	CD3G
SLC39A2	STMN4
COL2A1	RPS6KA5
MGAT4A	CCNB1IP1
CLCC1	HESX1
DNAH14	NIDDM1
BLZF1	TNRC6A
KAL1	MRXS5
GUCA1A	ZMAT5
PYDC1	UBE1
DPF3	OR8I2
MCU	PFN2
ZNF175	NLGN4X
GUSBP2	PARD6B
OR2T6	ITM2B
C1orf106	UQCRFSL1
TKTL2	ACADVL
SLC43A1	ADRM1
MAG	FRMD4B
AKR1C4	PANK3
PAPOLA	PDP1
OR5M9	MYLK4
KATNAL1	CD58
CHCHD3	NAGK
TRAJ33	OR13C9
FHL3	OR4Q3
PPP2R2A	TRAM2
ORM1	SPATA5L1
DOK1	TDH
LGR6	FUT9
LINC00269	HINFP
STAG3L3	TLCD1
PART1	GPATCH8
PRMT1	ABCF3
ACVR1C	PLAG1
RUNDC1	TLN1
SRP72	DOCK7
BEST4	NCF1C
ARMC2	PLEKHH2
MRX65	KIAA1875
OR10Z1	C6orf25
WDR31	LPAR6
UPB1	MAPK8
INSL3	TROVE2
SCO1	OXR1
DRAP1	MIR200B
USP43	OR10A7
GHRL	MID1IP1
OCLN	HECTD4
CCDC69	HOOK3
GPR148	ARHGEF5
MAP3K5	MRPS15
LINC00424	OR2A5
AOC3	GRIK5
OR6C4	OR10A7
ABCC4	ARHGDIB
RGAG4	CFP
SGTA	ZNF718
CUL7	ZNF320
HPR	KCTD17
LIN28B	EML6
CREB3	DEGS1
TSNAX	MIS18BP1
RNR2	PGS1
GHSR	CALU
KCNF1	LINC01044
EIF4EBP3	PLEKHA6
HRH2	MT2A
PQLC1	FAM45B
ABCB9	TIFA
NADK2	EGR1
TMC2	ZNF624
ASH1L	TMEM240
MINOS1	CTAGE15
NR4A2	SMTN
RCOR2	ILDR2
PROZ	CFHR3
MRX52	RPL29
LINC00485	VCPKMT
STXBP1	HSD17B1
NKAP	TUBGCP3
GABRA6	RPGRIP1L
C21orf59	BOLL
PPP2R1A	CHIC1
HEATR6	FBXO2
BECN1	SNX1
PCMTD2	CA14
PAPD4	BET1L
MZT2B	TMEM220
SMG8	ARL6IP5
ZNF286B	LARP1
CXCL17	RAB40B
TAS2R43	TUBA1B
ICR3	OR5M9
C9orf114	ATP5C1
KLF6	CASP10
RPL30	ALPK2
ARHGAP17	GSTK1
CACNG8	DYT10
FGF13	SNORD69
ASL	SERF1A
PF4	OR10K2
ATF7	CXorf56
MRRFP1	UFSP2
SH2D2A	ATP5I
F3	HCG4
MYOZ3	CMAS
OR5H15	PKD2L2
SLC25A25	SULT1A4
ATMIN	KRTAP19-6
LRRN4	ZNF474
RNF217	TRAJ23
WNT2B	KRT27
SPATS2L	DCLRE1B
SLITRK4	COX8A
AMFR	DNMT3B
FLNA	WDR83OS
PROSC	SECISBP2
FKBP7	TRNT1
UNC79	MORC3
PADI4	PARP10
GIMAP1-GIMAP5	ACTR3C
PICK1	LINC00263
OVOL1	RABL5
GCAT	VPS4B
TMEM59	LOC101927302
ERGIC1	CST2
TNFAIP3	KIF1A
SNORD104	GJE1
OR13C4	LINC00265
CCL4L1	PTK7
DENND6A	PDGFRB
MIRLET7A1	HPS5
AKNAD1	SGCA
MHS2	ANKRD11
SUMF1	LINC00322
PHKG1	CCDC135
ESRRA	PIGY
DYT10	H2AFB1
DSTNP4	LINC00922
STK24	FOXO1B
FTH1	IPO11
TMEM179	TBC1D28
FZD1	CEBPA
GOLGB1	PML
NONO	SNX31
KLHL18	PAGE5
KIAA1211	EIF2C2
ARHGEF35	CHPT1
CENPF	ZNF324
PRR13	ZNF518B
DTD2	LTV1
PHF14	ETV7
ADH1C	FBL
SF3A1	ST8SIA1
USP4	ATP8B1
EXOC7	MICF
COL5A1	DEFB132
FAM78A	C19orf25
ANXA2R	DNAJC13
WSB1	MUC3B
ZMAT4	SDF4
HTR3C	PDE3B
SLFN5	CPSF1
FIGN	ACSS2
AGPAT2	LCE1C
LINC00559	RAB40C
COX6A1	MOXD1
ARHGEF19	HDHD2
ACSBG1	NKX3-2
KIAA2022	OR8K5
GNG12	SOX12
TSPAN16	LINC00701
AARS2	KRBA2
LINC00692	NF1L4
MYO9B	MORF4L1
GPR27	KIAA1161
OBP2A	ZNF716
ATP6AP1L	AGER
ERGIC2	IFI30
BSCL2	PGPEP1
WBP2	CIDEA
LINC00890	CNTRL
TBX22	POU3F1
LURAP1L	MCM10
HSD11B2	FAM208A
NOP2	CD300E
INSR	COL2A1
PPP1R12A	SLC6A12
CCL3L3	HIST1H2BK
GALM	WDR52
BCAR4	CCL24
ORC4L	LRFN4
SPAG17	IDDM9
TNFRSF11B	COL23A1
ARL14EP	PVT1
MYO5C	LHX8
VIM	TMEM255A
CCDC92	C3orf17
SBF2	ELFN2
FUCA1	NLRX1
FBXO46	LRRC63
CXCL11	MT-CO3
NUDT11	RAX2
CEP164	VPS4A
VAMP1	CLEC2A
MOB3C	SRGAP2
COPG	REPIN1
ZNF737	KIAA0090
CIDEC	SYTL1
DEAF1	ANKRD13B
RPTOR	RBM12
GNG10	TLE2
RGMA	PAN2
DEK	NSEP1
TCP11	FARS2
CAMSAP3	B4GALT4
SCAPER	CCNYL1
LINC00294	TRIP6
ADRA2C	SP2
LIN7C	P2RY4
PHLDB2	ADAM20
PCBD2	TFF3
GTPBP1	GRK4
ZNF711	P4HA3
IL16	RHBDL3
OR6X1	FAM57A
TMEM41A	RHOF
MON1A	OR2T29
KDM6A	PLS3
NAA40	LRRC6
C9orf43	KRTAP13-4
SLC11A2	KRT81
HPS6	ERC2
SCCPDH	JPH4
AMACR	NTSR1
SLC12A3	CSTF3
CCDC83	AKAP1
NAMPT	CLCNKA
C17orf53	TMEM138
KY	ZNF222
TRAM2	CRIM1
LINC00582	CRYAB
RRAD	ZNF565
SAA4	GFOD1
WDR4	F12
LRRC52	BPGM
ST2	ZNF808
RFX4	ACADL
BBS5	PTX4
CREG1	OR4A47
DDI2	ZNF791
ZNF806	KANK3
ZNF84	LPHN1
POLR2K	C10orf95
TLX1	CCL18
ZNF284	NTRK1
DEDD	SPA17
KRTAP9-6	USP3
KCNG1	CCDC39
GDA	HNF1B
C8A	PYDC2
NUPR1	LINC00299
LILRB1	GLIPR2
SPICE1	LINC00487
SP9	CADPS
MRT20	TSPAN33
ZNF707	RPS3A
CBX8	KRT82
A1BG	OR2J1
ALPK2	SLC35A2
RYBP	WNT5B
PEX7	MRPL49
LINC00993	NXF5
TP53INP2	SPECC1
C5orf15	PGC
INO80E	ALK
LINC00085	COX6B2
C5AR2	IAH1
CFHR2	CD24
NANOGP1	PNLIPRP1
HIST1H3J	KRTAP19-8
LLPH	COX2
ARAP1	RRS1
PDCD11	AP1S2
ACTR1A	SPAG11B
C11orf71	LRRC47
IL1R1	MIR1825
PREPL	MIR155
BEND2	FBLN7
LINC00452	PRDM16
SPSB2	TOMM20L
NDUFB9	ABCA4
MARCO	OR8S1
NEIL3	NSFL1C
ABCC2	FOXP1
SSX2IP	FRMD3
CCT	PANK2
RAB3D	CT55
PPP1R18	RAB1B
SFT2D3	CDKL4
HLA-G	MT1JP
FAM178B	LRRC14
ACOT8	ZBED3
HIST1H2BM	KFM
EPS8L1	RNLS
ANKRD22	MRX18
C2orf44	NKAP
N4BP3	TXNL4A
LRRC31	FECH
PRKD3	KDM5A
TIAM1	CLCA2
JAG2	CD300LB
LINC01049	HEYL
GTF2F2	ZNF710
RDH12	CCDC173
KIAA1009	KDM5A
PROCA1	DYT10
PARK7	KCNMB2
COL6A6	DCTN2
WWTR1	SCAR6
INPP3	ROBO2
SSTR3	LINC00970
KNG1	SETD1A
MIER2	CADM3
NGLY1	FOXI3
SYNDIG1	ITGAE
HOXA3	MADCAM1
STXBP5	POMT2
KIAA0408	SRMS
PRKCA	LINC00283
TTC17	UCKL1
DACT2	CELSR1
TBCEL	UMPS
TBL1X	DYM
FZD10	VDR
CH25H	DISP2
LINC00620	KRTAP4-5
SMARCAL1	LINC01005
MED9	PRR5L
PDIA5	MYOT
HNRPDL	LINC01038
FAM216A	RSBN1
LINC00840	CYTH3
PSMB1	ZNF474
NANOG	THEM6
OR11A1	TMEM19
SLC26A8	MEDAG
PCNT	REC8
CNTRL	TEX29
ELOVL1	MRPS5P3
SPG38	ZMYM3
CYTH2	KIAA2013
ANKRD66	LINC00854
NRAS	CCNT2
OR4N2	B3GNT2
TNFRSF13C	ANKRD54
TUBA1B	FBXO3
CST1	RAB7L1
MMAB	VAMP2
RAX2	ADH1B
TBC1D17	SPRED2
SPR	SSTR3
E2F1	FDCSP
ERICH2	KCND3
FAM122B	GJB1
GOLGA1	AKR1A1
CHPF2	GIPC2
RAB21	HNRPDL
ZNF641	MGLL
ADH5	CIZ1
HINFP	NIPBL
C21orf2	IL7
CD160	MAP9
EDIL3	DHFR
WDYHV1	FAM101A
FREM1	GFRA1
GJB7	LMTK3
OOSP2	ECE1
PLXNB1	SNW1
DPYS	CRBN
MED8	CRTAM
AASS	SYMPK
ATAD2B	DIO1
INHA	TRAJ32
CXCR3	CNBP
ZNF160	BAG6
FBXO33	PATL1
ADO	C1orf122
VGLL3	MEF2A
RIIAD1	MEIS2
OSBPL8	OR14K1
GNL3L	RTN4R
HCG18	DNAAF4
HBD	PPIAL4B
RRP36	TULP1
HBP1	KCNB2
MAP2K7	KRTAP21-3
PCP2	CRBN
TMEM52	GPR128
ARIH2OS	LRRC17
ARF1	CKAP5
ARID5B	TPSG1
DKK3	GABRP
TP63	HOXB6
TOMM6	CEP170B
TAC1	BDP1
SENP8	TACO1
LINC00260	RNF220
MIR223	R3HDM1
ZFP36L2	EFCAB5
EGFL6	MMP24
CEP41	PGM5
BEST3	CRB2
OR51M1	NKX2-1
LINC00501	OR1C1
IL23R	WDR64
ATG14	NKX3-2
FGB	WTIP
LINC00866	TUBA1A
HM13	GPS1
HIST1H2BD	ZNF581
NCR3LG1	C8orf59
PTCH2	CDK18
LINC00599	TFAP2C
C9orf6	BOLA3
DEPDC1	UST
ARMCX2	JUN
KIAA0226	CYP2J2
PHLDA1	SUSD2
TVP23B	ZNF80
LDHA	MLLT1
TAB2	KRTAP20-1
XPO1	PCDHB10
SNORD29	TIMD4
CACNA2D4	LGMN
C11orf87	APOA4
OMG	PRNP
KRTAP5-6	CAP1
PRCC	FANCI
ASCC2	WDR83OS
ETV7	OR5H14
ZNF76	PIF1
TP53BP2	EBF3
SLC6A19	GTF3C6
NR1D1	RANBP10
TMEM106A	IFITM3
CMT2B	ARHGAP32
BASP1	C11orf52
STYXL1	SHISA6
NT5DC4	IQCE
DCTN5	NFE2L1
IL6R	PDE10A
COX17	ZRSR2
PPP1R3D	EXOC2
TMOD2	TK1
TAF10	TACC1
GPR155	OR2G2
DSCR10	GALNT18
PRAMEF16	PSMA6
ASH1L	GEMIN2
NRAS	ERMAP
TTC33	TIMM23
TUT1	RCC2
TMEM154	MRPS34
CCL15	SYT11
GSE1	CLDND1
MHS6	BEX1
GPX1	RLF
TMEM98	ARHGAP29
PEX6	AP5S1
CEP250	IVL
THAP10	MCS
LINC00452	NIFK
NBEAL2	ZNF589
MTMR9	C15orf21
AGAP5	CPA5
C10orf11	MAGEA11
HCLS1	MMS22L
ASNS	PNCK
PCDHB7	EPB41L4A
TRIM55	PPM1B
LINC00336	LINC00881
HEATR4	C1QBP
CES4A	PPIAP15
ACAT2	SLTM
HMI	SPN
UPF3A	PHBP14
SVOP	ZNF490
LDHD	LINC00943
MYOZ2	CRS
IPO8	OR3A4P
PMP22	PPARD
MIR2861	S100A13
CDC5L	EYA1
ZNF684	NIM1K
ZNF653	SNORD118
TMEM5	UBXN2A
FIP1L1	RNPC3
CYP1A2	DPYD
CELA1	RGS13
IKBKE	DVL1P1
ABCF3	C10orf118
MYO1C	GIT1
PIPOX	RSS
MSLN	FZD10
SHC3	VWA7
SARS2	PPP1R8
ITIH2	ATP5G3
UQCRC1	C1QG
ORAOV1	PHKB
OR6C4	UST
POLR3G	EPPK1
CHST14	KRTAP4-4
NRM	NEK11
MIR218-1	MTRR
AMMECR1	MRX20
TFIP11	SGCG
LBX2	SLC1A5
SKOR2	GRM2
SLC26A9	C4B
NXN	POF1B
RPL10L	HBE1
MTM1	ESF1
FSCB	FRA10AC1
DHRS9	ITIH4
SLC12A9	TGFA
EMR2	CARS2
CRABP1	IDI1
SEPHS2	RSPO4
UBE2B	SPDL1
CREG1	CST3
UBE3D	BTAF1
ARHGAP9	ROCK2
PDE7A	CMM
RAD23B	MN1
ZNF460	HSP90AA6P
CLDN8	NRXN3
KRTAP19-6	CAPN13
ARPC2	ZNF174
SNORD70	HECTD4
RP1L1	TMEM98
MTBP	PAH
ZNF689	ADCY7
NRSN2	MEMO1
IRF5	RAB3A
PLXNA4	PPTC7
HIST1H2BB	PELI3
PDE5A	CYP1A2
OR52E8	C1QTNF8
A1BG	TTF1
PTDSS2	SPSB1
TMEM30B	ITGAX
FAM21B	NCR3
CD300C	ASB18
LINC01000	DMXL1
CXCL5	RPL13A
RRN3P2	NSL1
STAT1	RUFY2
KRTAP10-2	DENND2D
CD68	SAP30BP
NTF3	TMEM130
LCE1C	AGPAT2
SOX10	RIN3
DNMT3A	TMEM247
CCDC102A	PRSS1
NEMF	GBP1
LINC00176	NTMT1
TRIM44	BAG1
GLTPD2	POTEI
CUEDC1	THUMPD3
LIN52	GLUD2
RABGGTB	HNRNPCP5
TMEM208	TMEM150C
PDE6D	RHNO1
SNORD27	MRPS10
TET2	PIK3CD
LINC00423	SMN2
ITGA1	ASCC1
GGA3	ZNF200
CCDC11	CAPNS1
CCDC14	VLDLR
OR4X2	CRHBP
PPFIA4	CSNK2A3
NMBR	IGSF9
ARL13B	COA7
AOC3	CST11
MAP3K9	NUDT2
GJB5	SH3GLB2
ACTN1	TRNAE1
LINC00558	KRT81
SMPD4	PASK
CCDC47	EHMT1
SFPQ	PRAMEF13
GPN3	ZC3H13
RPF2	BATF
FBXO5	ANE1
TMOD4	TRIOBP
MAPKAPK3	POLR2J
AHI1	CACNB2
SERF2	SPRED2
DYNLT1	HRG
DUX4L9	ARHGAP33
PARK12	FEZ1
TMED10	CYP2C9
MRX35	CEP250
UGT1A10	EMR3
OAZ2	CEP112
OR6Q1	MAD2L1BP
KCNN1	SFXN3
PCCA	CDKL3
FBXW2	SH3KBP1
CLIP3	ZNF219
AP1G2	HTOR
FAM124A	CLDN6
GAGE2D	SOX12
WIPI2	CAMKK1
SLC12A3	DNAH6
NXPH2	SUPT16H
MTFR2	PPIL3
ADAMTSL2	MYL1
DYDC2	SCA26
HSD11B1	PIGK
PIWIL2	CLCN2
BCL7B	TRAF1
SPANXN3	LINC01073
DENR	HBG2
OR52M1	SORCS2
GREM1	NETO2
TMPRSS11D	UBQLN1
PSORS5	NXPH3
LINC00999	DHRS4L2
KCNJ16	FBLN7
PAM	OLFM1
FRAT1	MAN2A2
FOXB1	SGCD
CYP2S1	APLNR
STRN	APOO
MRPL33	NPR3
ZNF683	PPY
PCDH19	TRAPPC4
SESN3	TRIM11
CDH3	TSPYL4
MSMB	N4BP3
GPR143	WDR48
HIST1H2AC	KCNJ18
NPFF	BCL2L2
OR6J1	LINC01029
TCEB3C	NFE2L1
MIR133A2	LINC01007
ITGA2B	ITGA5
FLCN	DGKB
MARS2	FAM90A16P
NMI	ARHGEF39
VSIG8	LINC00844
GARNL3	SUZ12P
USP54	ARHGAP20
TSKS	COL16A1
KIAA0907	LINC00687
ZNF177	CSRNP2
PLS3	RASGRP2
OR52E6	CALML3
AZI1	FBXO9
BARX1	VCL
PFKFB2	ECEL1
PCSK1N	TTLL8
CDKN2AIPNL	TNXB
MRGPRX2	HMI
FLYWCH1	ARL11
RNF216	UBE2T
TTC1	CXCR2
SCN4B	GOT1L1
FAM195A	MUC6
OR10A2	ACTL8
PPP4R4	C1orf94
IGLP1	BRF1
PCOLCE2	TXNL4B
PAPPA	RSAD2
MAK	COTL1
HTL	ZNF321P
MXI1	RTN4IP1
GAA	ZSCAN18
VAPA	ZNF688
LINC00472	FGD1
MED24	KISS1
FES	PLD3
SPTLC3	CCDC65
XPO4	LINC00411
FSBP	REN
CCNO	PI4KAP2
SMARCA5	BCAR1
NOD1	MAFA
PDR	RENBP
ADPRM	TNFSF4
FAM178B	NDUFB3
ZNF333	OR8I2
OR4K1	ADPRH
KIAA1549	ZIC4
SYP	CREB3L3
RTKN	OR10K2
PHF16	OR5P3
TIMELESS	INTS7
FBXO8	MSL3
ENO4	CDC40
FADS6	TBC1D16
UBE3C	TM7SF2
TMSB4Y	BEX2
SLC4A9	SLC47A1
CC2D2A	RASA4
NKTR	TMEM145
NTHL1	CLEC2B
CUX2	GCM1
CEP89	KRTAP4-5
KRTAP8-1	C9orf142
GM2A	C5
HTR2B	AMT
MYBPH	PRPF8
CCK	FAM204A
OR2M2	PRKAG2
ADAM1A	SMIM14
SRP19	USH1G
FAM90A1	BHMT2
PICK1	PARK7
KLRF1	KCNQ4
KCNH6	MUT
RAD1	KCND3
DCTPP1	SHISA8
CDKN1B	KPNB1
ACY3	TDRD9
PRNP	MSL3
TAF1D	PLVAP
KRTAP19-1	PRDM9
APOC2	WASH3P
ORC5L	CD164
DHCR24	HACL1
MROH6	PHBP1
P4HA2	BTN3A2
SRPK2	HPS1
MYOCD	CTLA4
IL6R	LRMP
TAS2R9	ASF1A
TPX2	RNF32
CTDSP1	C17orf90
MTSS1	LRRC14
TEX14	hCG
FILIP1L	COX7A1
SDF2	TSFM
CSMD2	KIF5C
JAGN1	RPF1
GNL3L	TMEM210
AMBRA1	MLC1
HSPB9	MIPOL1
GGCX	LPO
OR4Q2	HIST1H4A
RFX3	TMEM205
KRTAP3-3	USP31
RCC1	GRM8
FDX1L	WDR44
ERAS	LINC00478
CTSV	SRGAP2P2
FABP3	EFCAB2
PEA15	GAPT
HTOR	AP5M1
CDKL3	TRAPPC10
ALDH3A2	KIZ
C14orf166	HSD17B2
ABCC10	SP7
COL18A1	CPLX1
QRFP	DHCR24
B3GNTL1	GNE
RNF43	CYTH4
GPR18	TNFRSF21
COG7	SEC1P
HSPA9	AZIN1
GPR111	FAM107B
E2F1	IL2RG
ZNF394	ZNF740
PRKRA	FCER1A
CDX2	ANKRD61
FAM230A	HRH2
FPR2	SLC35A3
COL7A1	DYRK1A
ETFDH	UBE2V1
IL11	OSM
HIF1AN	JAKMIP1
LINC01024	BACH1
SNORD66	TMEM233
CENPF	SEPSECS
UBL3	ARID5B
DLG5	GUCA2B
LINC00471	STAM2
FMOD	KNTC1
PLEKHA8	NDUFB7
ACTR6	VIPR2
SHF	IL13RA2
SCEL	FDPS
ANKS1A	PPP2R4
C21orf59	KIAA1755
KIF17	LINC00890
ADHFE1	TACC3
LRRC16A	FAM131C
SLC6A8	AIPL1
TTI1	IPO7
MAVS	CFD
INO80B-WBP1	COPG2
RTN4RL1	RAB42
TEX41	OR51A7
DZIP1	REEP2
TMEM156	SC5D
GOSR1	DHX16
MLLT7	SDCCAG8
HSPE1	MBD3L1
TTC8	PROK2
DHRS7	IFNK
RAD50	TRAJ47
RMRP	GLA
GBX2	CASP7
PAWR	MLF1IP
DAPK2	KLHL18
CCDC122	FAM72B
PPP2CB	RPL10
LINC00968	CALML4
AMICA1	PLIN5
GPIHBP1	RALGPS1
CLASP1	USMG5
PTGER1	FARSB
WIZ	UGT1A10
CEP192	UNC93B2
RNF220	PPP1R9A
HIP1	KRT80
NDUFB5	RPL13A
PTPRS	RBM5
TRIM77	THAP5
CEP78	FAM210A
ZSWIM3	FAM69A
TRIM47	LINC00863
EFS	PGS1
TMEM9B	PRDM13
ACSM5	ZNF141
PMM2	NDUFA13
SELT	TRAJ3
CDKN2D	TXNDC16
MXD4	TGFBI
HIST1H1C	TTC36
HEATR2	ZMYM5
EMID1	CEMP1
ROM1	COX7C
PCSK1N	IMPG1
FBXL2	IRF7
PSMA8	UBD
TEX14	PGR
DPH6	DUSP10
TEAD4	ARPC3
REG3G	KRTAP4-1
RBP4	HP1BP3
C9orf156	FAM179B
KLHL18	ADRA2A
HCG27	PTPN5
AREG	RNH1
RFTN1	IFT81
MPV17	ZNF654
LINC00454	PPIP5K2
OR1S2	MIR558
TEX261	LINC00928
GGT5	ATP6V1G2
TAC1	IMP4
HOXB13	NUP107
ITGAE	MYH11
CDH20	TBX6
IKBIP	ENTPD1
LINC00575	IFT74
NUAK2	ST6GALNAC5
IFT140	LINC00865
FAM131B	LINC01040
DERL1	SPG38
ACOX1	FAM46C
CTBP2	PJA1
DCTN3	LINC00336
TWISTNB	C4BPA
FOXP2	MRPL18
NFASC	NEURL
HERC3	PPP1R10
ACY1	RWDD1
ANKRD30A	ALG5
INTS7	DACT1
PTPRT	SGCB
LINC01054	CHMP6
GATAD1	MIR495
NANOGP8	ACTB
NDE1	TSPAN18
GTF2A1	TMOD1
ECE2	FTO
SAMD3	SUN3
ALOX15	IGHG1
LINC01052	FAM189A2
DULLARD	PSMC1
ACACA	CAPRIN2
WDFY4	SLC45A2
PROCA1	TMEM89
RAB5A	PANK2
LINC01060	TAB1
SPSB1	CLSPN
DBX2	ASMD
GJB7	ZCWPW2
H3F3A	NDRG1
TSKU	DNASE1L3
HIST1H4I	CPEB2
CSPG5	LINC00483
EXT3	SDHD
SPEN	KRTAP5-10
HIST1H4K	ALG14
HVCN1	AQR
PSMF1	CDR2
FLJ44635	DSCR8
RAD9B	HNRNPF
LINC00588	ERCC4
SLC7A1	MMRN2
PRAC1	TIAM2
U2AF1L4	PKIA
DOCK5	SNORD125
RPP40	ENPP5
CCDC3	TSPAN10
C17orf103	CATSPER2
OR8H3	GPRC5A
C5AR2	PHOX2A
NRF1	MTCP1
SLC6A3	LINC00489
PCDHB4	SEPT3
PDE6A	ADO
PCID2	IL17C
REV3L	KLRD1
COL23A1	RPL39
PTGFR	PAGE5
YIPF1	PMEL
TUBB1	OR10A6
AP3S2	LINC00640
LINC00885	ETS2
DPPA3	CCDC50
SYT12	EIF4EBP1
BMP7	GNMT
ASB12	SLC9C1
ABCA7	RIMKLB
RNH1	GLO1
CTHRC1	CLN8
GCFC2	NYNRIN
ADAM19	FASLG
COPS4	CPNE7
KLF6	GOLGA7
TPGS2	PSTK
ADAMTS17	ZNF263
CBWD3	OR14I1
HORMAD2	MRX84
MEF2D	TMEM126A
MIR203	MECOM
TMC3	CXCL11
FOXD4	MFAP2
ADPGK	SRP19
FKBP4	KIAA0753
LIN7B	LRCH2
ASF1B	MXD4
GABRG3	ORC2L
LINC00997	HAPLN1
HLA-DRB3	RRP12
CCDC85A	ZGLP1
CD163	MRX84
GPR50	TNK2
MYO1G	PHLDA3
SLC28A1	SNAP47
S100A12	LINC00882
C20orf4	TTYH3
RBM44	SCA21
TRAJ30	IRS2
STXBP3	MRX74
OR52E2	CYP2A13
KLHL30-AS1	HIST3H2A
PTK2	LINC00032
PHF16	LRRC39
IFITM2	PLEKHM2
IFNGR2	SNRPG
PPP6R1	HS6ST2
EBF4	NLRP5
PCMTD2	LINC00379
CCDC147	LPO
CUL9	PNMA1
ZNF223	CEACAM3
NRP2	RNR1
DLG5	PCNA
GMEB2	TLE2
SEC61A1	PKD3
PTPRZ1	NSL1
USP12	SVIP
KIAA2013	MYOF
MTX3	EYS
BCRP4	RIC3
CD72	EXOSC7
CARS	ZBTB4
USP9X	EIF2B2
DDX39	KRTAP4-2
TDRKH	AGPAT6
RARS2	KCNB1
NEBL	PPP2R5B
GFRA4	LINC00950
GAGE8	TCERG1L
TRNAP3	TINAGL1
CEACAM5	USP17L24
AGBL3	CCNI
FAM210A	TRAJ15
FDX1L	GOLT1B
SERPINE1	ZFP1
TMCO1	ERCC6
APPBP2	TIGIT
TRIM39-RPP21	CKMT1A
PLAT	PRMT6
LINC00624	NOP2
ADH4	OR2L8
SLC35F5	TRIM9
LIMA1	RPL23A
LINC00628	MYO1H
SMCP	PRMT2
OR6C65	NVL
YPEL5	PAG1
ARMC7	OSBPL9
NFKBIZ	MRO
ZNF362	KRT23
FER1L6	SP8
DUSP16	VDAC1
HOXB3	PHYKPL
TRIM24	ARHGEF19
PITHD1	PSORS6
FBXO8	WNT8B
ESYT2	RILP
TCOF1	SOX14
TMEM121	ST6GAL1
SMOX	ANO7
NMUR2	ZSCAN26
OR5AS1	IST1
SPRY3	EIF2C3
TPM2	HAO2
POLI	DHX35
ZAN	FAM8A1
CCDC107	C11orf70
TAF12	RND1
FAM174B	FAM131C
RET	TTC22
TYRO3	SRGAP3
PDB1	LDHB
CENTD2	ATP5D
PPP1R3C	SNX6
SERF1A	EMP1
SLC9A6	C1orf128
TNFRSF19	OR11G2
ZNF485	NPHS2
C22orf28	STX4
CRYGEP	RP9
IL12RB1	SLC26A5
PSMB10	FLT1
SBNO1	B3GALT1
KRTAP22-1	FMO1
KRT2	PGA5
KITLG	TRAJ22
C7orf50	MTURN
PLSCR4	ZNF883
ASB12	WNK3
ECEL1	DCX
MLS	ADAM7
NEUROD1	NAA10
UHRF1	BPTF
MCF2L2	POLI
KLHL3	IBD2
MDFI	CD4
SRA1	ZNF397
LIN28A	RFC5
GABARAPL2	SAP30BP
MICA	CCDC102A
ELAC2	IDDM11
AVPR1A	DPPA5
GPR37	PDZD3
CSPP1	ACYP1
GKN1	FKBP6
GPR55	CMTM8
SLC25A52	FAM63B
PLA2G4A	FOXE1
BECN1P1	HIST1H2BO
MSR1	TRIM51
PTGDR	PFN1
HMGB3P1	GRIN3B
SIGLEC14	GPR27
HES7	EZR
ALG10	RHOQ
ADARB2	CYLD
PLD6	CHTF18
GPR75	KANSL2
OR52K1	POP7
KLHL5	DSEL
TRAIP	POLR1B
GOLGA8H	SLC25A32
PRDM9	DUSP23
ELANE	NRAS
CACNB4	AMY1C
